Module	Section	Sample Name	Source
FastQC	all_sections	GSM3043059_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_cutadapt_2_fastq.gz_qc/GSM3043059_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043059_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_2_fastq.gz_qc/GSM3043059_2_fastqc.zip
FastQC	all_sections	GSM3043059_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_cutadapt_bowtie2_bam_qc/GSM3043059_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043059_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_1_fastq.gz_qc/GSM3043059_1_fastqc.zip
FastQC	all_sections	GSM3043059_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_cutadapt_1_fastq.gz_qc/GSM3043059_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043095_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_cutadapt_1_fastq.gz_qc/GSM3043095_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043095_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_cutadapt_bowtie2_bam_qc/GSM3043095_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043095_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_2_fastq.gz_qc/GSM3043095_2_fastqc.zip
FastQC	all_sections	GSM3043095_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_1_fastq.gz_qc/GSM3043095_1_fastqc.zip
FastQC	all_sections	GSM3043095_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_cutadapt_2_fastq.gz_qc/GSM3043095_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043060_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt_bowtie2_bam_qc/GSM3043060_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043060_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt_2_fastq.gz_qc/GSM3043060_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043060_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_2_fastq.gz_qc/GSM3043060_2_fastqc.zip
FastQC	all_sections	GSM3043060_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt_1_fastq.gz_qc/GSM3043060_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043060_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_1_fastq.gz_qc/GSM3043060_1_fastqc.zip
FastQC	all_sections	GSM3043096_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_1_fastq.gz_qc/GSM3043096_1_fastqc.zip
FastQC	all_sections	GSM3043096_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_cutadapt_2_fastq.gz_qc/GSM3043096_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043096_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_2_fastq.gz_qc/GSM3043096_2_fastqc.zip
FastQC	all_sections	GSM3043096_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_cutadapt_1_fastq.gz_qc/GSM3043096_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043096_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_cutadapt_bowtie2_bam_qc/GSM3043096_cutadapt_bowtie2_fastqc.zip
